名称,営業日,住所,アクセス
66カフェ 西新宿店,月～金、祝前日: 11:00～20:00 （料理L.O. 19:30）土、祝日: 11:00～19:00 （料理L.O. 18:30）,東京都新宿区西新宿６－４－１　新宿アイランドアトリウムＢ１Ｆ,地下鉄丸ノ内線西新宿駅直結0分／JR新宿駅西口より徒歩8分
さくら 西新宿駅前店,月～金、祝前日: 11:00～15:00 （料理L.O. 14:30 ドリンクL.O. 14:30）,東京都新宿区西新宿８-4-2 野村不動産西新宿ビルB1,東京メトロ西新宿駅から徒歩２分
フロア完全貸切パーティー シャンクレール 新宿,月～日、祝日、祝前日: 09:00～22:30,東京都新宿区西新宿６-６-２　ヒルトン東京Ｂ１ ヒルトピア,新宿駅(西口)徒歩7分/西新宿駅(Ｃ8出口)徒歩2分/都庁前駅徒歩3分◎ヒルトン東京B１Ｆヒルトピア内にございます
絵のある街 新宿店,月～日、祝日、祝前日: 11:00～14:00 （料理L.O. 14:00 ドリンクL.O. 14:00）17:00～23:00 （料理L.O. 22:30 ドリンクL.O. 22:30）,東京都新宿区西新宿７-15-17 東光ビル2F,新宿駅D5出口より徒歩約3分/西武新宿駅より徒歩約5分
英国風パブ HUB 西武新宿駅前店,月～木: 17:00～翌1:00金、祝前日: 17:00～翌2:00土: 16:00～翌2:00日、祝日: 16:00～翌1:00,東京都新宿区歌舞伎町１-26-6 灯ビルB1F,西武新宿駅 徒歩1分
ユック 北の海道 新宿駅前エルタワー店,月～金、祝前日: 11:30～14:30 （料理L.O. 14:00 ドリンクL.O. 14:00）17:00～22:30 （料理L.O. 21:30 ドリンクL.O. 22:00）土: 11:30～14:30 （料理L.O. 14:00 ドリンクL.O. 14:00）17:00～22:00 （料理L.O. 21:00 ドリンクL.O. 21:30）日: 11:30～14:30 （料理L.O. 14:00 ドリンクL.O. 14:00）17:00～21:00 （料理L.O. 20:00 ドリンクL.O. 20:30）祝日: 11:30～14:30 （料理L.O. 14:00 ドリンクL.O. 14:00）17:00～22:21 （料理L.O. 20:00 ドリンクL.O. 21:30）,東京都新宿区西新宿１－６－１　新宿エルタワーＢ２,JR新宿駅西口徒歩3分/都庁前駅徒歩3分
大衆スタンド 神田屋 新宿三丁目末広通り店,月～土、祝前日: 12:00～翌0:00日、祝日: 12:00～22:00,東京都新宿区新宿３-７-３ 丸中ビル１F,東京メトロ，都営新宿線新宿三丁目駅徒歩約1分/京王，小田急小田原線，都営大江戸線，ＪＲ新宿駅Ｂ６出口より徒歩約6分
みんなの居酒屋 Mt.ロッキー 新宿三丁目,月～日、祝日、祝前日: 16:00～20:00 （料理L.O. 19:00 ドリンクL.O. 18:45）,東京都新宿区新宿３-11-11  ダイアン新宿8F,都営新宿線 新宿三丁目駅 徒歩1分地下鉄副都心線 新宿三丁目駅 徒歩3分
カフェバー サニーサイド 新宿東口店,月～金、祝前日: 11:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）土、日、祝日: 11:30～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）,東京都新宿区新宿３－２８－７　キーストンビル１Ｆ,JR新宿駅中央東口　徒歩１分/地下鉄丸ノ内線新宿三丁目駅　徒歩３分/西武新宿線西武新宿駅　徒歩５分
りんず 新宿西口ハルク店,月～日、祝日、祝前日: 11:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:00）,東京都新宿区西新宿１-5-1 小田急ハルク 食堂酒場ハル★チカMB3F,JR新宿駅　西口　徒歩2分／地下鉄新宿駅　B16～18番出口直結
